"filename", "language", "YAML", "C++", "Swift", "Dart", "Gradle", "XML", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar\papkalar_single.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\papkalar\qovluq_yarat_dialog.dart", "Dart", 0, 0, 0, 96, 0, 0, 9, 11, 116
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\secilmis_elanlar.dart", "Dart", 0, 0, 0, 36, 0, 0, 0, 2, 38
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secilmisler\secilmisler_birlesme.dart", "Dart", 0, 0, 0, 6, 0, 0, 7, 2, 15
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secure_storage\qovluqlar_secure_storage.dart", "Dart", 0, 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\gasan\.vscode\flutter projects\database_trial\lib\ui\secure_storage\secure_storage.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\gasan\.vscode\flutter projects\database_trial\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\gasan\.vscode\flutter projects\database_trial\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\gasan\.vscode\flutter projects\database_trial\pubspec.yaml", "YAML", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\gasan\.vscode\flutter projects\database_trial\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 6
"Total", "-", 6, 10, 4, 1735, 0, 45, 979, 248, 3027
